#MJD,index_lag_1,index_lag_2,index_lag_3,index_lag_4,index_lag_5,index_lag_6,index_rolling_mean_7,index_rolling_std_7,flux_lag_1,flux_lag_2,flux_lag_3,flux_lag_4,flux_lag_5,flux_lag_6,flux_rolling_mean_7,flux_rolling_std_7
55603.49998842592,4.57,3.68,2.34,3.42,4.33,2.38,3.3,0.95,-6.962573502059376,-7.0726296369609765,-6.995678626217358,-7.044793462458058,-7.103473782510445,-7.044793462458058,-7.04,0.05
55624.49998842592,2.37,4.57,3.68,2.34,3.42,4.33,3.41,0.87,-7.036684488613889,-6.962573502059376,-7.0726296369609765,-6.995678626217358,-7.044793462458058,-7.103473782510445,-7.03,0.05
55631.49998842592,3.15,2.37,4.57,3.68,2.34,3.42,3.16,0.81,-6.966576244513051,-7.036684488613889,-6.962573502059376,-7.0726296369609765,-6.995678626217358,-7.044793462458058,-7.02,0.04
55638.49998842592,2.62,3.15,2.37,4.57,3.68,2.34,3.03,0.84,-7.031984286006359,-6.966576244513051,-7.036684488613889,-6.962573502059376,-7.0726296369609765,-6.995678626217358,-7.01,0.04
55666.49998842592,2.46,2.62,3.15,2.37,4.57,3.68,3.16,0.78,-7.0301183562535,-7.031984286006359,-6.966576244513051,-7.036684488613889,-6.962573502059376,-7.0726296369609765,-6.99,0.08
55673.49998842592,3.28,2.46,2.62,3.15,2.37,4.57,2.99,0.78,-6.823908740944319,-7.0301183562535,-7.031984286006359,-6.966576244513051,-7.036684488613889,-6.962573502059376,-6.99,0.08
55708.49998842592,2.49,3.28,2.46,2.62,3.15,2.37,2.77,0.37,-7.048662481204082,-6.823908740944319,-7.0301183562535,-7.031984286006359,-6.966576244513051,-7.036684488613889,-7.01,0.09
55743.49998842592,3.0,2.49,3.28,2.46,2.62,3.15,2.93,0.41,-7.120330794367947,-7.048662481204082,-6.823908740944319,-7.0301183562535,-7.031984286006359,-6.966576244513051,-7.01,0.09
55771.49998842592,3.48,3.0,2.49,3.28,2.46,2.62,2.9,0.4,-7.018634490921456,-7.120330794367947,-7.048662481204082,-6.823908740944319,-7.0301183562535,-7.031984286006359,-7.02,0.1
55799.49998842592,2.98,3.48,3.0,2.49,3.28,2.46,2.85,0.45,-7.092588639225414,-7.018634490921456,-7.120330794367947,-7.048662481204082,-6.823908740944319,-7.0301183562535,-7.03,0.1
