#MJD,flux_target_1d,flux_target_2d
54959.49998842592,-7.041914151478915,-7.00788851221305
54980.49998842592,-7.00788851221305,-6.982966660701219
55176.49998842592,-6.982966660701219,-7.044793462458058
55239.49998842592,-7.044793462458058,-7.103473782510445
55309.49998842592,-7.103473782510445,-7.044793462458058
55323.49998842592,-7.044793462458058,-6.995678626217358
55372.49998842592,-6.995678626217358,-7.0726296369609765
55463.49998842592,-7.0726296369609765,-6.962573502059376
55575.49998842592,-6.962573502059376,-7.036684488613889
55582.49998842592,-7.036684488613889,-6.966576244513051
55603.49998842592,-6.966576244513051,-7.031984286006359
55624.49998842592,-7.031984286006359,-7.0301183562535
55631.49998842592,-7.0301183562535,-6.823908740944319
55638.49998842592,-6.823908740944319,-7.048662481204082
55666.49998842592,-7.048662481204082,-7.120330794367947
55673.49998842592,-7.120330794367947,-7.018634490921456
55708.49998842592,-7.018634490921456,-7.092588639225414
55743.49998842592,-7.092588639225414,-7.046240308266771
55771.49998842592,-7.046240308266771,-7.100726812682396
55799.49998842592,-7.100726812682396,-7.087246696328677
55806.49998842592,-7.087246696328677,-6.939302159646388
55813.49998842592,-6.939302159646388,-7.092051478387727
55834.49998842592,-7.092051478387727,-6.995678626217358
55855.49998842592,-6.995678626217358,-7.017728766960432
55890.49998842592,-7.017728766960432,-6.903089986991944
55897.49998842592,-6.903089986991944,-7.066006836168758
55953.49998842592,-7.066006836168758,-7.100726812682396
56044.49998842592,-7.100726812682396,-6.931814138253839
56114.499976851854,-6.931814138253839,-7.027797161620936
56380.499976851854,-7.027797161620936,-7.063486257521107
56464.499976851854,-7.063486257521107,-6.982966660701219
56590.499976851854,-6.982966660701219,-6.978810700930062
56611.499976851854,-6.978810700930062,-7.0675262353228465
56758.499976851854,-7.0675262353228465,-7.024568191490737
56814.499976851854,-7.024568191490737,-6.774690718274137
56933.499976851854,-6.774690718274137,-6.924453038607469
56954.499976851854,-6.924453038607469,-7.062983892535186
56961.499976851854,-7.062983892535186,-6.841637507904751
56982.499976851854,-6.841637507904751,-7.018634490921456
57129.499976851854,-7.018634490921456,-6.958607314841775
57136.499976851854,-6.958607314841775,-7.068542129310995
57143.499976851854,-7.068542129310995,-7.047691990337875
57192.499976851854,-7.047691990337875,-6.97061622231479
57199.499976851854,-6.97061622231479,-7.0
57234.49996527778,-7.0,-6.920818753952375
57304.49996527778,-6.920818753952375,-6.966576244513051
57311.49996527778,-6.966576244513051,-7.097453220686009
57318.49996527778,-7.097453220686009,-7.092051478387727
57353.49996527778,-7.092051478387727,-7.013228265733755
57465.49996527778,-7.013228265733755,-7.064492734175287
57493.49996527778,-7.064492734175287,-6.928117992693875
57514.49996527778,-6.928117992693875,-6.876148359032914
57962.4999537037,-6.876148359032914,-6.939302159646388
58067.4999537037,-6.939302159646388,-7.08196966321512
58235.4999537037,-7.08196966321512,-6.91721462968355
58396.4999537037,-6.91721462968355,-6.838631997765025
58480.4999537037,-6.838631997765025,-6.987162775294828
58816.4999537037,-6.987162775294828,-6.991399828238082
59348.4999537037,-6.991399828238082,-6.97061622231479
59600.4999537037,-6.97061622231479,-7.048662481204082
60041.4999537037,-7.048662481204082,-7.044793462458058
60181.4999537037,-7.044793462458058,-7.066006836168758
60237.4999537037,-7.066006836168758,-7.031050319018657
60650.4999537037,-7.031050319018657,3.683947130751512
60748.4999537037,3.683947130751512,-7.009217308196862
