#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
54721.5,-7.260427655549908,-7.193141970481182,-7.127843727251707,-7.2,0.06,2.38,2.06,2.65,2.19,0.17
54728.5,-7.1444808443322,-7.260427655549908,-7.193141970481182,-7.05,0.27,2.13,2.38,2.06,2.49,0.42
54749.5,-6.747146969020107,-7.1444808443322,-7.260427655549908,-6.94,0.2,2.95,2.13,2.38,2.59,0.42
54756.5,-6.920818753952375,-6.747146969020107,-7.1444808443322,-6.92,0.18,2.69,2.95,2.13,3.55,1.27
54791.5,-7.104577453960592,-6.920818753952375,-6.747146969020107,-7.0,0.09,5.0,2.69,2.95,3.87,1.16
54798.5,-6.97469413473523,-7.104577453960592,-6.920818753952375,-7.07,0.08,3.91,5.0,2.69,3.88,1.14
54812.5,-7.127261172527331,-6.97469413473523,-7.104577453960592,-7.0,0.12,2.73,3.91,5.0,3.32,0.59
54819.5,-6.896196279044043,-7.127261172527331,-6.97469413473523,-7.06,0.14,3.31,2.73,3.91,2.6,0.79
54826.5,-7.1487416512809245,-6.896196279044043,-7.127261172527331,-7.09,0.17,1.75,3.31,2.73,2.37,0.83
54833.49998842592,-7.2247537402597635,-7.1487416512809245,-6.896196279044043,-7.16,0.06,2.05,1.75,3.31,2.03,0.27
54840.49998842592,-7.11690664142431,-7.2247537402597635,-7.1487416512809245,-7.09,0.15,2.29,2.05,1.75,2.3,0.26
54847.49998842592,-6.920818753952375,-7.11690664142431,-7.2247537402597635,-6.99,0.11,2.57,2.29,2.05,2.47,0.15
54854.49998842592,-6.924453038607469,-6.920818753952375,-7.11690664142431,-6.95,0.05,2.54,2.57,2.29,2.57,0.03
54861.49998842592,-7.010995384301463,-6.924453038607469,-6.920818753952375,-6.92,0.09,2.6,2.54,2.57,2.59,0.04
54868.49998842592,-6.823908740944319,-7.010995384301463,-6.924453038607469,-6.88,0.11,2.62,2.6,2.54,2.43,0.31
54875.49998842592,-6.806875401645539,-6.823908740944319,-7.010995384301463,-6.76,0.09,2.07,2.62,2.6,2.31,0.28
54882.49998842592,-6.661543506395395,-6.806875401645539,-6.823908740944319,-6.77,0.09,2.24,2.07,2.62,2.24,0.17
54889.49998842592,-6.838631997765025,-6.661543506395395,-6.806875401645539,-6.73,0.1,2.41,2.24,2.07,2.65,0.58
54896.49998842592,-6.690369832574102,-6.838631997765025,-6.661543506395395,-6.75,0.08,3.31,2.41,2.24,2.7,0.53
54910.49998842592,-6.72584215073632,-6.690369832574102,-6.838631997765025,-6.71,0.02,2.39,3.31,2.41,2.73,0.5
54917.49998842592,-6.709965388637482,-6.72584215073632,-6.690369832574102,-6.72,0.01,2.49,2.39,3.31,2.33,0.2
54924.49998842592,-6.732828271596986,-6.709965388637482,-6.72584215073632,-6.82,0.18,2.1,2.49,2.39,2.43,0.31
54931.49998842592,-7.030584087646019,-6.732828271596986,-6.709965388637482,-6.86,0.15,2.71,2.1,2.49,2.85,0.83
54938.49998842592,-6.826813731587726,-7.030584087646019,-6.732828271596986,-7.03,0.21,3.75,2.71,2.1,3.07,0.59
55078.49998842592,-7.244887733604929,-6.826813731587726,-7.030584087646019,-6.99,0.22,2.74,3.75,2.71,3.22,0.51
55085.49998842592,-6.910094888560602,-7.244887733604929,-6.826813731587726,-7.1,0.17,3.16,2.74,3.75,2.78,0.36
55106.49998842592,-7.154281982033341,-6.910094888560602,-7.244887733604929,-7.04,0.12,2.45,3.16,2.74,2.74,0.37
55113.49998842592,-7.045757490560675,-7.154281982033341,-6.910094888560602,-7.01,0.16,2.62,2.45,3.16,2.72,0.33
55134.49998842592,-6.844663962534939,-7.045757490560675,-7.154281982033341,-6.93,0.1,3.08,2.62,2.45,2.67,0.38
55148.49998842592,-6.910094888560602,-6.844663962534939,-7.045757490560675,-6.91,0.07,2.32,3.08,2.62,2.47,0.55
55155.49998842592,-6.987162775294828,-6.910094888560602,-6.844663962534939,-6.99,0.08,2.0,2.32,3.08,2.74,1.02
55183.49998842592,-7.0675262353228465,-6.987162775294828,-6.910094888560602,-7.04,0.05,3.91,2.0,2.32,2.9,0.96
55232.49998842592,-7.070070439915412,-7.0675262353228465,-6.987162775294828,-7.12,0.09,2.78,3.91,2.0,3.1,0.71
55246.49998842592,-7.224025668870631,-7.070070439915412,-7.0675262353228465,-7.15,0.08,2.6,2.78,3.91,3.46,1.34
55344.49998842592,-7.146910470148135,-7.224025668870631,-7.070070439915412,-7.1,0.15,5.0,2.6,2.78,3.85,1.2
55372.49998842592,-6.931814138253839,-7.146910470148135,-7.224025668870631,-7.07,0.12,3.94,5.0,2.6,3.96,1.04
55386.49998842592,-7.123205023799299,-6.931814138253839,-7.146910470148135,-6.99,0.11,2.93,3.94,5.0,3.55,0.55
