#MJD,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3
56380.499976851854,2.75,2.39,2.37,2.58,0.18,-7.084072788302884,-6.872895201635193,-7.0034883278458215,-7.0,0.11
56415.499976851854,2.6,2.75,2.39,2.56,0.21,-7.056505484093897,-7.084072788302884,-6.872895201635193,-7.08,0.02
56429.499976851854,2.33,2.6,2.75,2.55,0.2,-7.087777943467585,-7.056505484093897,-7.084072788302884,-7.02,0.1
56471.499976851854,2.72,2.33,2.6,2.59,0.23,-6.906578314837765,-7.087777943467585,-7.056505484093897,-7.03,0.11
56478.499976851854,2.73,2.72,2.33,2.56,0.29,-7.106793246940152,-6.906578314837765,-7.087777943467585,-7.1,0.19
56492.499976851854,2.23,2.73,2.72,2.65,0.38,-7.289036881004725,-7.106793246940152,-6.906578314837765,-7.14,0.14
56506.499976851854,2.98,2.23,2.73,2.6,0.38,-7.014124642691606,-7.289036881004725,-7.106793246940152,-7.11,0.15
56513.499976851854,2.59,2.98,2.23,2.7,0.24,-7.033389013318065,-7.014124642691606,-7.289036881004725,-7.03,0.02
56520.499976851854,2.53,2.59,2.98,3.03,0.82,-7.049148541111453,-7.033389013318065,-7.014124642691606,-7.0,0.08
56527.499976851854,3.98,2.53,2.59,2.93,0.91,-6.906578314837765,-7.049148541111453,-7.033389013318065,-7.08,0.19
56541.499976851854,2.29,3.98,2.53,3.03,0.87,-7.29073003902417,-6.906578314837765,-7.049148541111453,-7.11,0.19
56562.499976851854,2.81,2.29,3.98,2.62,0.29,-7.146301788223826,-7.29073003902417,-6.906578314837765,-7.16,0.12
56653.499976851854,2.76,2.81,2.29,3.24,0.78,-7.041914151478915,-7.146301788223826,-7.29073003902417,-6.95,0.26
56674.499976851854,4.14,2.76,2.81,3.34,0.71,-6.657577319177793,-7.041914151478915,-7.146301788223826,-6.87,0.2
56709.499976851854,3.13,4.14,2.76,3.99,0.8,-6.924453038607469,-6.657577319177793,-7.041914151478915,-6.81,0.14
56716.499976851854,4.71,3.13,4.14,3.59,0.98,-6.838631997765025,-6.924453038607469,-6.657577319177793,-6.86,0.06
56723.499976851854,2.93,4.71,3.13,3.97,0.93,-6.815308569182402,-6.838631997765025,-6.924453038607469,-6.84,0.03
56737.499976851854,4.26,2.93,4.71,3.34,0.8,-6.872895201635193,-6.815308569182402,-6.838631997765025,-6.97,0.22
56975.499976851854,2.84,4.26,2.93,3.24,0.89,-7.223298816011589,-6.872895201635193,-6.815308569182402,-7.06,0.18
56982.499976851854,2.63,2.84,4.26,2.64,0.19,-7.0746879085003505,-7.223298816011589,-6.872895201635193,-7.12,0.09
