#MJD,flux_change_target,flux_target,flux_current_for_recon
54693.5,-0.1435257410296411,5.49e-08,6.41e-08
54707.5,0.30601092896174853,7.17e-08,5.49e-08
54721.5,1.4965132496513252,1.79e-07,7.17e-08
54728.5,-0.3296089385474861,1.2e-07,1.79e-07
54749.5,-0.345,7.86e-08,1.2e-07
54756.5,0.34860050890585237,1.06e-07,7.86e-08
54791.5,-0.29622641509433956,7.46e-08,1.06e-07
54798.5,0.7024128686327078,1.27e-07,7.46e-08
54812.5,-0.4409448818897639,7.1e-08,1.27e-07
54819.5,-0.16056338028169015,5.96e-08,7.1e-08
54826.5,0.2818791946308725,7.64e-08,5.96e-08
54833.49998842592,0.5706806282722512,1.2e-07,7.64e-08
54840.49998842592,-0.008333333333333304,1.19e-07,1.2e-07
54847.49998842592,-0.18067226890756294,9.75e-08,1.19e-07
54854.49998842592,0.5384615384615383,1.5e-07,9.75e-08
54861.49998842592,0.040000000000000036,1.56e-07,1.5e-07
54868.49998842592,0.39743589743589736,2.18e-07,1.56e-07
54875.49998842592,-0.3348623853211009,1.45e-07,2.18e-07
54882.49998842592,0.4068965517241381,2.04e-07,1.45e-07
54889.49998842592,-0.07843137254901966,1.88e-07,2.04e-07
54896.49998842592,0.037234042553191626,1.95e-07,1.88e-07
54910.49998842592,-0.05128205128205132,1.85e-07,1.95e-07
54917.49998842592,-0.49621621621621625,9.32e-08,1.85e-07
54924.49998842592,0.5987124463519313,1.49e-07,9.32e-08
54931.49998842592,-0.6181208053691275,5.69e-08,1.49e-07
54938.49998842592,1.1616871704745169,1.23e-07,5.69e-08
55078.49998842592,-0.4300813008130081,7.01e-08,1.23e-07
55085.49998842592,0.28388017118402287,9e-08,7.01e-08
55106.49998842592,0.5888888888888888,1.43e-07,9e-08
55113.49998842592,-0.1398601398601398,1.23e-07,1.43e-07
55134.49998842592,-0.16260162601626027,1.03e-07,1.23e-07
55148.49998842592,-0.16893203883495145,8.56e-08,1.03e-07
55155.49998842592,-0.005841121495327117,8.51e-08,8.56e-08
55183.49998842592,-0.2984723854289072,5.97e-08,8.51e-08
55232.49998842592,0.19430485762144056,7.13e-08,5.97e-08
55246.49998842592,0.6409537166900421,1.17e-07,7.13e-08
55344.49998842592,-0.35641025641025637,7.53e-08,1.17e-07
55372.49998842592,0.5670650730411686,1.18e-07,7.53e-08
55386.49998842592,-0.48813559322033895,6.04e-08,1.18e-07
