#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
55932.49998842592,7.3e-08,2.5e-07,6.76e-08,0.0,0.0,1.81,2.68,2.35,2.35,0.47
55960.49998842592,6.91e-08,7.3e-08,2.5e-07,0.0,0.0,2.55,1.81,2.68,2.08,0.41
55974.49998842592,1.35e-07,6.91e-08,7.3e-08,0.0,0.0,1.88,2.55,1.81,2.4,0.46
55981.49998842592,1.08e-07,1.35e-07,6.91e-08,0.0,0.0,2.77,1.88,2.55,2.65,0.71
55988.49998842592,1.1e-07,1.08e-07,1.35e-07,0.0,0.0,3.29,2.77,1.88,2.9,0.35
55995.49998842592,1.8e-07,1.1e-07,1.08e-07,0.0,0.0,2.63,3.29,2.77,2.87,0.36
56009.49998842592,6.24e-08,1.8e-07,1.1e-07,0.0,0.0,2.7,2.63,3.29,2.68,0.04
56016.49998842592,1.15e-07,6.24e-08,1.8e-07,0.0,0.0,2.71,2.7,2.63,2.46,0.42
56030.49998842592,5.3e-08,1.15e-07,6.24e-08,0.0,0.0,1.97,2.71,2.7,2.26,0.39
56044.49998842592,8.49e-08,5.3e-08,1.15e-07,0.0,0.0,2.11,1.97,2.71,2.23,0.34
56051.49998842592,8.17e-08,8.49e-08,5.3e-08,0.0,0.0,2.61,2.11,1.97,2.42,0.27
56058.49998842592,8.13e-08,8.17e-08,8.49e-08,0.0,0.0,2.55,2.61,2.11,2.79,0.37
56072.49998842592,7.75e-08,8.13e-08,8.17e-08,0.0,0.0,3.22,2.55,2.61,3.07,0.47
56079.49998842592,1.66e-07,7.75e-08,8.13e-08,0.0,0.0,3.45,3.22,2.55,2.86,0.84
56100.49998842592,5.46e-08,1.66e-07,7.75e-08,0.0,0.0,1.9,3.45,3.22,2.58,0.79
56121.499976851854,5.64e-08,5.46e-08,1.66e-07,0.0,0.0,2.4,1.9,3.45,2.98,1.46
56226.499976851854,1.5e-07,5.64e-08,5.46e-08,0.0,0.0,4.65,2.4,1.9,3.44,1.13
56352.499976851854,1.1e-07,1.5e-07,5.64e-08,0.0,0.0,3.27,4.65,2.4,3.43,1.15
56359.499976851854,9.92e-08,1.1e-07,1.5e-07,0.0,0.0,2.37,3.27,4.65,2.68,0.51
56373.499976851854,1.34e-07,9.92e-08,1.1e-07,0.0,0.0,2.39,2.37,3.27,2.5,0.21
56380.499976851854,8.24e-08,1.34e-07,9.92e-08,0.0,0.0,2.75,2.39,2.37,2.58,0.18
