#MJD,flux_change_target,flux_target,flux_current_for_recon
54728.5,1.5355450236966823,5.35e-09,2.11e-09
54735.5,2.981308411214953,2.13e-08,5.35e-09
54798.5,0.835680751173709,3.91e-08,2.13e-08
54805.5,3.21994884910486,1.65e-07,3.91e-08
54812.5,-0.84,2.64e-08,1.65e-07
54826.5,2.121212121212121,8.24e-08,2.64e-08
54833.49998842592,1.5606796116504853,2.11e-07,8.24e-08
54847.49998842592,-0.48815165876777245,1.08e-07,2.11e-07
54854.49998842592,1.3611111111111112,2.55e-07,1.08e-07
54889.49998842592,-0.8878431372549019,2.86e-08,2.55e-07
54910.49998842592,5.258741258741258,1.79e-07,2.86e-08
54952.49998842592,-0.43575418994413406,1.01e-07,1.79e-07
54959.49998842592,-0.5683168316831684,4.36e-08,1.01e-07
54966.49998842592,1.9357798165137616,1.28e-07,4.36e-08
55092.49998842592,-0.97515625,3.18e-09,1.28e-07
55218.49998842592,4.849056603773585,1.86e-08,3.18e-09
55225.49998842592,9.107526881720428,1.88e-07,1.86e-08
55260.49998842592,-0.6276595744680851,7e-08,1.88e-07
55274.49998842592,-0.9578571428571429,2.95e-09,7e-08
55309.49998842592,84.42372881355932,2.52e-07,2.95e-09
55316.49998842592,-0.47619047619047616,1.32e-07,2.52e-07
55323.49998842592,-0.9659848484848484,4.49e-09,1.32e-07
55379.49998842592,41.09354120267261,1.89e-07,4.49e-09
55400.49998842592,-0.11111111111111116,1.68e-07,1.89e-07
55470.49998842592,-0.5184523809523809,8.09e-08,1.68e-07
55477.49998842592,0.5203955500618047,1.23e-07,8.09e-08
55484.49998842592,0.6341463414634148,2.01e-07,1.23e-07
55491.49998842592,-0.09452736318407973,1.82e-07,2.01e-07
55519.49998842592,0.23076923076923084,2.24e-07,1.82e-07
55533.49998842592,-0.6049107142857142,8.85e-08,2.24e-07
55547.49998842592,0.8983050847457625,1.68e-07,8.85e-08
55575.49998842592,-0.0357142857142857,1.62e-07,1.68e-07
55596.49998842592,-0.23456790123456783,1.24e-07,1.62e-07
55603.49998842592,0.274193548387097,1.58e-07,1.24e-07
55631.49998842592,-0.5063291139240507,7.8e-08,1.58e-07
55673.49998842592,0.9358974358974359,1.51e-07,7.8e-08
55687.49998842592,-0.6390728476821192,5.45e-08,1.51e-07
55736.49998842592,0.6715596330275231,9.11e-08,5.45e-08
55743.49998842592,0.8660812294182216,1.7e-07,9.11e-08
55757.49998842592,-0.24705882352941166,1.28e-07,1.7e-07
55792.49998842592,0.1640625,1.49e-07,1.28e-07
55799.49998842592,-0.8630872483221477,2.04e-08,1.49e-07
55806.49998842592,1.9362745098039214,5.99e-08,2.04e-08
55841.49998842592,-0.24040066777963276,4.55e-08,5.99e-08
55855.49998842592,3.153846153846154,1.89e-07,4.55e-08
55869.49998842592,-0.49470899470899476,9.55e-08,1.89e-07
55876.49998842592,-0.5664921465968586,4.14e-08,9.55e-08
55883.49998842592,-0.016908212560386437,4.07e-08,4.14e-08
55890.49998842592,6.346437346437347,2.99e-07,4.07e-08
55897.49998842592,-0.8454849498327759,4.62e-08,2.99e-07
55904.49998842592,3.6969696969696972,2.17e-07,4.62e-08
55911.49998842592,-0.36866359447004604,1.37e-07,2.17e-07
55918.49998842592,0.16058394160583944,1.59e-07,1.37e-07
55925.49998842592,0.2767295597484276,2.03e-07,1.59e-07
55932.49998842592,0.024630541871921263,2.08e-07,2.03e-07
55939.49998842592,-0.8745192307692308,2.61e-08,2.08e-07
55946.49998842592,2.8697318007662838,1.01e-07,2.61e-08
55974.49998842592,0.9306930693069306,1.95e-07,1.01e-07
55981.49998842592,-0.8051282051282052,3.8e-08,1.95e-07
55995.49998842592,3.6315789473684204,1.76e-07,3.8e-08
56002.49998842592,0.5795454545454546,2.78e-07,1.76e-07
56009.49998842592,-0.15467625899280568,2.35e-07,2.78e-07
56016.49998842592,-0.3191489361702128,1.6e-07,2.35e-07
56023.49998842592,0.16874999999999996,1.87e-07,1.6e-07
56030.49998842592,-0.6026737967914438,7.43e-08,1.87e-07
56044.49998842592,0.9919246298788695,1.48e-07,7.43e-08
56051.49998842592,-0.4209459459459459,8.57e-08,1.48e-07
56058.49998842592,0.7502917152858808,1.5e-07,8.57e-08
56065.49998842592,-0.07333333333333336,1.39e-07,1.5e-07
56072.49998842592,-0.237410071942446,1.06e-07,1.39e-07
56079.49998842592,0.7547169811320755,1.86e-07,1.06e-07
56086.49998842592,-0.6548387096774193,6.42e-08,1.86e-07
56100.49998842592,1.3676012461059188,1.52e-07,6.42e-08
56107.49998842592,0.11842105263157876,1.7e-07,1.52e-07
56114.499976851854,-0.3058823529411764,1.18e-07,1.7e-07
56135.499976851854,-0.24661016949152548,8.89e-08,1.18e-07
56142.499976851854,-0.9418447694038246,5.17e-09,8.89e-08
56156.499976851854,1.5918762088974852,1.34e-08,5.17e-09
56205.499976851854,12.955223880597016,1.87e-07,1.34e-08
56240.499976851854,-0.5117647058823529,9.13e-08,1.87e-07
56275.499976851854,-0.8378970427163198,1.48e-08,9.13e-08
56282.499976851854,9.472972972972972,1.55e-07,1.48e-08
56331.499976851854,0.10322580645161294,1.71e-07,1.55e-07
56338.499976851854,0.10526315789473695,1.89e-07,1.71e-07
56401.499976851854,-0.4941798941798943,9.56e-08,1.89e-07
56436.499976851854,1.1443514644351467,2.05e-07,9.56e-08
56450.499976851854,-0.448780487804878,1.13e-07,2.05e-07
56471.499976851854,0.6371681415929202,1.85e-07,1.13e-07
