#MJD,index_current,index_lag_1,index_change_lag_1,index_momentum,index_ma_3,index_dist_from_ma,flux_current,flux_lag_1,flux_change_lag_1,flux_momentum
54728.5,0.43,3.22,0.0,-2.79,1.8250000000000002,-1.3950000000000002,2.11e-09,1.5e-07,0.0,-0.9859333333333333
54735.5,0.78,0.43,-2.79,3.14,1.4766666666666666,-0.6966666666666665,5.35e-09,2.11e-09,-0.9859333333333333,2.5214783570300154
54798.5,1.45,0.78,0.35000000000000003,0.3199999999999999,0.8866666666666667,0.5633333333333332,2.13e-08,5.35e-09,1.5355450236966823,1.4457633875182707
54805.5,2.05,1.45,0.6699999999999999,-0.07000000000000006,1.4266666666666665,0.6233333333333333,3.91e-08,2.13e-08,2.981308411214953,-2.145627660041244
54812.5,3.56,2.05,0.5999999999999999,0.9100000000000004,2.3533333333333335,1.2066666666666666,1.65e-07,3.91e-08,0.835680751173709,2.384268097931151
54826.5,1.06,3.56,1.5100000000000002,-4.01,2.223333333333333,-1.163333333333333,2.64e-08,1.65e-07,3.21994884910486,-4.05994884910486
54833.49998842592,2.71,1.06,-2.5,4.15,2.4433333333333334,0.2666666666666666,8.24e-08,2.64e-08,-0.84,2.961212121212121
54847.49998842592,5.0,2.71,1.65,0.6400000000000001,2.9233333333333333,2.0766666666666667,2.11e-07,8.24e-08,2.121212121212121,-0.5605325095616358
54854.49998842592,2.81,5.0,2.29,-4.48,3.5066666666666664,-0.6966666666666663,1.08e-07,2.11e-07,1.5606796116504853,-2.048831270418258
54889.49998842592,5.0,2.81,-2.19,4.38,4.2700000000000005,0.7299999999999995,2.55e-07,1.08e-07,-0.48815165876777245,1.8492627698788837
54910.49998842592,1.74,5.0,2.19,-5.449999999999999,3.1833333333333336,-1.4433333333333336,2.86e-08,2.55e-07,1.3611111111111112,-2.248954248366013
54952.49998842592,4.83,1.74,-3.26,6.35,3.856666666666667,0.9733333333333332,1.79e-07,2.86e-08,-0.8878431372549019,6.14658439599616
54959.49998842592,2.75,4.83,3.09,-5.17,3.106666666666667,-0.3566666666666669,1.01e-07,1.79e-07,5.258741258741258,-5.694495448685393
54966.49998842592,2.47,2.75,-2.08,1.8000000000000003,3.35,-0.8799999999999999,4.36e-08,1.01e-07,-0.43575418994413406,-0.13256264173903431
55092.49998842592,4.44,2.47,-0.2799999999999998,2.25,3.22,1.2200000000000002,1.28e-07,4.36e-08,-0.5683168316831684,2.50409664819693
55218.49998842592,0.0,4.44,1.9700000000000002,-6.41,2.3033333333333332,-2.3033333333333332,3.18e-09,1.28e-07,1.9357798165137616,-2.9109360665137616
55225.49998842592,1.55,0.0,-4.44,5.99,1.9966666666666664,-0.4466666666666663,1.86e-08,3.18e-09,-0.97515625,5.824212853773584
55260.49998842592,4.1,1.55,1.55,0.9999999999999998,1.883333333333333,2.216666666666667,1.88e-07,1.86e-08,4.849056603773585,4.258470277946843
55274.49998842592,2.53,4.1,2.55,-4.119999999999999,2.7266666666666666,-0.19666666666666677,7e-08,1.88e-07,9.107526881720428,-9.735186456188513
55309.49998842592,0.18,2.53,-1.5699999999999998,-0.7799999999999998,2.27,-2.09,2.95e-09,7e-08,-0.6276595744680851,-0.3301975683890578
55316.49998842592,5.0,0.18,-2.3499999999999996,7.17,2.57,2.43,2.52e-07,2.95e-09,-0.9578571428571429,85.38158595641646
55323.49998842592,3.51,5.0,4.82,-6.3100000000000005,2.8966666666666665,0.6133333333333333,1.32e-07,2.52e-07,84.42372881355932,-84.8999192897498
55379.49998842592,0.77,3.51,-1.4900000000000002,-1.2499999999999996,3.0933333333333333,-2.3233333333333333,4.49e-09,1.32e-07,-0.47619047619047616,-0.4897943722943723
55400.49998842592,4.44,0.77,-2.7399999999999998,6.41,2.9066666666666667,1.5333333333333337,1.89e-07,4.49e-09,-0.9659848484848484,42.05952605115746
55470.49998842592,4.06,4.44,3.6700000000000004,-4.050000000000001,3.09,0.9699999999999998,1.68e-07,1.89e-07,41.09354120267261,-41.204652313783726
55477.49998842592,2.72,4.06,-0.3800000000000008,-0.9599999999999986,3.74,-1.02,8.09e-08,1.68e-07,-0.11111111111111116,-0.4073412698412697
55484.49998842592,3.09,2.72,-1.3399999999999994,1.709999999999999,3.2899999999999996,-0.19999999999999973,1.23e-07,8.09e-08,-0.5184523809523809,1.0388479310141856
55491.49998842592,3.41,3.09,0.36999999999999966,-0.04999999999999938,3.0733333333333337,0.33666666666666645,2.01e-07,1.23e-07,0.5203955500618047,0.11375079140161004
55519.49998842592,4.59,3.41,0.3200000000000003,0.8599999999999994,3.6966666666666668,0.8933333333333331,1.82e-07,2.01e-07,0.6341463414634148,-0.7286737046474945
55533.49998842592,4.76,4.59,1.1799999999999997,-1.0099999999999998,4.253333333333333,0.5066666666666668,2.24e-07,1.82e-07,-0.09452736318407973,0.32529659395331056
55547.49998842592,2.54,4.76,0.16999999999999993,-2.3899999999999997,3.9633333333333334,-1.4233333333333333,8.85e-08,2.24e-07,0.23076923076923084,-0.835679945054945
55575.49998842592,4.84,2.54,-2.2199999999999998,4.52,4.046666666666667,0.793333333333333,1.68e-07,8.85e-08,-0.6049107142857142,1.5032157990314767
55596.49998842592,4.72,4.84,2.3,-2.42,4.033333333333333,0.6866666666666665,1.62e-07,1.68e-07,0.8983050847457625,-0.9340193704600482
55603.49998842592,3.26,4.72,-0.1200000000000001,-1.3399999999999999,4.2733333333333325,-1.0133333333333328,1.24e-07,1.62e-07,-0.0357142857142857,-0.19885361552028213
