#MJD,index_change_target,index_target,index_current_for_recon
54728.5,0.35000000000000003,0.78,0.43
54735.5,0.6699999999999999,1.45,0.78
54798.5,0.5999999999999999,2.05,1.45
54805.5,1.5100000000000002,3.56,2.05
54812.5,-2.5,1.06,3.56
54826.5,1.65,2.71,1.06
54833.49998842592,2.29,5.0,2.71
54847.49998842592,-2.19,2.81,5.0
54854.49998842592,2.19,5.0,2.81
54889.49998842592,-3.26,1.74,5.0
54910.49998842592,3.09,4.83,1.74
54952.49998842592,-2.08,2.75,4.83
54959.49998842592,-0.2799999999999998,2.47,2.75
54966.49998842592,1.9700000000000002,4.44,2.47
55092.49998842592,-4.44,0.0,4.44
55218.49998842592,1.55,1.55,0.0
55225.49998842592,2.55,4.1,1.55
55260.49998842592,-1.5699999999999998,2.53,4.1
55274.49998842592,-2.3499999999999996,0.18,2.53
55309.49998842592,4.82,5.0,0.18
55316.49998842592,-1.4900000000000002,3.51,5.0
55323.49998842592,-2.7399999999999998,0.77,3.51
55379.49998842592,3.6700000000000004,4.44,0.77
55400.49998842592,-0.3800000000000008,4.06,4.44
55470.49998842592,-1.3399999999999994,2.72,4.06
55477.49998842592,0.36999999999999966,3.09,2.72
55484.49998842592,0.3200000000000003,3.41,3.09
55491.49998842592,1.1799999999999997,4.59,3.41
55519.49998842592,0.16999999999999993,4.76,4.59
55533.49998842592,-2.2199999999999998,2.54,4.76
55547.49998842592,2.3,4.84,2.54
55575.49998842592,-0.1200000000000001,4.72,4.84
55596.49998842592,-1.46,3.26,4.72
55603.49998842592,1.1000000000000005,4.36,3.26
55631.49998842592,-1.9800000000000004,2.38,4.36
55673.49998842592,2.54,4.92,2.38
55687.49998842592,-2.57,2.35,4.92
55736.49998842592,0.10999999999999988,2.46,2.35
55743.49998842592,1.5499999999999998,4.01,2.46
55757.49998842592,0.45999999999999996,4.47,4.01
55792.49998842592,-0.5299999999999998,3.94,4.47
55799.49998842592,-2.2199999999999998,1.72,3.94
55806.49998842592,0.6199999999999999,2.34,1.72
55841.49998842592,-0.09999999999999964,2.24,2.34
55855.49998842592,2.0299999999999994,4.27,2.24
55869.49998842592,-1.1399999999999997,3.13,4.27
55876.49998842592,-0.8199999999999998,2.31,3.13
55883.49998842592,-0.18999999999999995,2.12,2.31
55890.49998842592,0.73,2.85,2.12
55897.49998842592,-0.43999999999999995,2.41,2.85
55904.49998842592,1.0299999999999998,3.44,2.41
55911.49998842592,1.56,5.0,3.44
55918.49998842592,-2.0,3.0,5.0
55925.49998842592,0.5800000000000001,3.58,3.0
55932.49998842592,-0.20000000000000018,3.38,3.58
55939.49998842592,-1.39,1.99,3.38
55946.49998842592,0.15000000000000013,2.14,1.99
55974.49998842592,0.9899999999999998,3.13,2.14
55981.49998842592,-1.17,1.96,3.13
55995.49998842592,1.25,3.21,1.96
56002.49998842592,-0.33000000000000007,2.88,3.21
56009.49998842592,0.26000000000000023,3.14,2.88
56016.49998842592,0.23999999999999977,3.38,3.14
56023.49998842592,0.30000000000000027,3.68,3.38
56030.49998842592,-0.6600000000000001,3.02,3.68
56044.49998842592,0.10000000000000009,3.12,3.02
56051.49998842592,-0.3900000000000001,2.73,3.12
56058.49998842592,2.27,5.0,2.73
56065.49998842592,-1.7999999999999998,3.2,5.0
56072.49998842592,0.09999999999999964,3.3,3.2
56079.49998842592,1.7000000000000002,5.0,3.3
56086.49998842592,-2.31,2.69,5.0
56100.49998842592,2.31,5.0,2.69
56107.49998842592,0.0,5.0,5.0
56114.499976851854,-0.96,4.04,5.0
56135.499976851854,-1.5100000000000002,2.53,4.04
56142.499976851854,-1.71,0.82,2.53
56156.499976851854,0.4,1.22,0.82
56205.499976851854,3.33,4.55,1.22
56240.499976851854,-1.7599999999999998,2.79,4.55
56275.499976851854,-1.45,1.34,2.79
56282.499976851854,2.75,4.09,1.34
56331.499976851854,0.8500000000000005,4.94,4.09
56338.499976851854,0.05999999999999961,5.0,4.94
56401.499976851854,-2.22,2.78,5.0
56436.499976851854,2.22,5.0,2.78
56450.499976851854,0.0,5.0,5.0
56471.499976851854,-2.37,2.63,5.0
56527.499976851854,0.45999999999999996,3.09,2.63
56548.499976851854,0.7600000000000002,3.85,3.09
56716.499976851854,-0.6000000000000001,3.25,3.85
56737.499976851854,1.75,5.0,3.25
56751.499976851854,0.0,5.0,5.0
56793.499976851854,-1.9300000000000002,3.07,5.0
56863.499976851854,-1.1999999999999997,1.87,3.07
56919.499976851854,3.13,5.0,1.87
56926.499976851854,-3.1100000000000003,1.89,5.0
56982.499976851854,2.9000000000000004,4.79,1.89
57087.499976851854,-0.20000000000000018,4.59,4.79
57136.499976851854,-2.7,1.89,4.59
57164.499976851854,1.1500000000000001,3.04,1.89
57185.499976851854,1.9500000000000002,4.99,3.04
57241.49996527778,0.009999999999999787,5.0,4.99
57297.49996527778,-2.43,2.57,5.0
57353.49996527778,2.0900000000000003,4.66,2.57
57381.49996527778,-4.66,0.0,4.66
57388.49996527778,1.0,1.0,0.0
57402.49996527778,3.79,4.79,1.0
57444.49996527778,-2.09,2.7,4.79
57542.49996527778,0.08999999999999986,2.79,2.7
57626.49996527778,2.21,5.0,2.79
57710.49996527778,-1.13,3.87,5.0
57850.4999537037,-1.7200000000000002,2.15,3.87
57899.4999537037,-0.97,1.18,2.15
57913.4999537037,1.5200000000000002,2.7,1.18
57934.4999537037,0.3999999999999999,3.1,2.7
57941.4999537037,-1.87,1.23,3.1
57976.4999537037,-0.10999999999999988,1.12,1.23
57997.4999537037,3.05,4.17,1.12
58018.4999537037,-3.6399999999999997,0.53,4.17
58123.4999537037,4.47,5.0,0.53
58151.4999537037,-2.76,2.24,5.0
58158.4999537037,-0.30000000000000027,1.94,2.24
58165.4999537037,3.06,5.0,1.94
58172.4999537037,-4.74,0.26,5.0
58256.4999537037,4.74,5.0,0.26
58270.4999537037,0.0,5.0,5.0
58298.4999537037,-4.61,0.39,5.0
58333.4999537037,4.61,5.0,0.39
58396.4999537037,-1.2400000000000002,3.76,5.0
58403.4999537037,1.2400000000000002,5.0,3.76
58424.4999537037,-0.7800000000000002,4.22,5.0
58438.4999537037,-4.22,0.0,4.22
58550.4999537037,5.0,5.0,0.0
58641.4999537037,-3.41,1.59,5.0
58655.4999537037,2.49,4.08,1.59
58683.4999537037,0.9199999999999999,5.0,4.08
58760.4999537037,0.0,5.0,5.0
58781.4999537037,0.0,5.0,5.0
58795.4999537037,-1.23,3.77,5.0
58823.4999537037,1.23,5.0,3.77
58830.4999537037,0.0,5.0,5.0
58851.4999537037,-2.81,2.19,5.0
58914.4999537037,-0.5,1.69,2.19
58921.4999537037,3.31,5.0,1.69
58928.4999537037,-3.85,1.15,5.0
58949.4999537037,2.8699999999999997,4.02,1.15
58956.4999537037,0.16000000000000014,4.18,4.02
58963.4999537037,-0.5099999999999998,3.67,4.18
58970.4999537037,-1.98,1.69,3.67
59005.4999537037,3.27,4.96,1.69
59012.4999537037,-1.44,3.52,4.96
59026.4999537037,1.48,5.0,3.52
59082.4999537037,-1.9100000000000001,3.09,5.0
59103.4999537037,-2.59,0.5,3.09
59110.4999537037,4.5,5.0,0.5
59138.4999537037,0.0,5.0,5.0
59166.4999537037,-2.38,2.62,5.0
59173.4999537037,1.1799999999999997,3.8,2.62
59194.4999537037,1.2000000000000002,5.0,3.8
59271.4999537037,-0.6500000000000004,4.35,5.0
59278.4999537037,-1.1399999999999997,3.21,4.35
59292.4999537037,1.79,5.0,3.21
59383.4999537037,0.0,5.0,5.0
59404.4999537037,-0.5099999999999998,4.49,5.0
59411.4999537037,-0.7100000000000004,3.78,4.49
