#MJD,flux_current,flux_lag_1,flux_change_current,flux_change_lag_1,flux_momentum,flux_ma_3,flux_dist_from_ma,index_current,index_lag_1,index_change_lag_1,index_momentum
54728.5,2.11e-09,1.5e-07,-0.9859333333333333,0.0,-0.9859333333333333,7.6055e-08,-0.9709802376731667,0.43,3.22,0.0,-2.79
54735.5,5.35e-09,2.11e-09,1.5355450236966823,-0.9859333333333333,2.5214783570300154,5.248666666666666e-08,-0.8963615618661258,0.78,0.43,-2.79,3.14
54798.5,2.13e-08,5.35e-09,2.981308411214953,1.5355450236966823,1.4457633875182707,9.586666666666667e-09,1.2092222986923604,1.45,0.78,0.35000000000000003,0.3199999999999999
54805.5,3.91e-08,2.13e-08,0.835680751173709,2.981308411214953,-2.145627660041244,2.1916666666666668e-08,0.780469341408024,2.05,1.45,0.6699999999999999,-0.07000000000000006
54812.5,1.65e-07,3.91e-08,3.21994884910486,0.835680751173709,2.384268097931151,7.513333333333333e-08,1.1945059813912275,3.56,2.05,0.5999999999999999,0.9100000000000004
54826.5,2.64e-08,1.65e-07,-0.84,3.21994884910486,-4.05994884910486,7.683333333333334e-08,-0.6555459272097055,1.06,3.56,1.5100000000000002,-4.01
54833.49998842592,8.24e-08,2.64e-08,2.121212121212121,-0.84,2.961212121212121,9.126666666666668e-08,-0.09704487413352805,2.71,1.06,-2.5,4.15
54847.49998842592,2.11e-07,8.24e-08,1.5606796116504853,2.121212121212121,-0.5605325095616358,1.066e-07,0.9784442361761949,5.0,2.71,1.65,0.6400000000000001
54854.49998842592,1.08e-07,2.11e-07,-0.48815165876777245,1.5606796116504853,-2.048831270418258,1.338e-07,-0.19268110530246446,2.81,5.0,2.29,-4.48
54889.49998842592,2.55e-07,1.08e-07,1.3611111111111112,-0.48815165876777245,1.8492627698788837,1.9133333333333335e-07,0.33257879157234876,5.0,2.81,-2.19,4.38
54910.49998842592,2.86e-08,2.55e-07,-0.8878431372549019,1.3611111111111112,-2.248954248366013,1.3053333333333334e-07,-0.7803010972186781,1.74,5.0,2.19,-5.449999999999999
54952.49998842592,1.79e-07,2.86e-08,5.258741258741258,-0.8878431372549019,6.14658439599616,1.5420000000000002e-07,0.16072585871678535,4.83,1.74,-3.26,6.35
54959.49998842592,1.01e-07,1.79e-07,-0.43575418994413406,5.258741258741258,-5.694495448685393,1.0286666666666666e-07,-0.018128844286176664,2.75,4.83,3.09,-5.17
54966.49998842592,4.36e-08,1.01e-07,-0.5683168316831684,-0.43575418994413406,-0.13256264173903431,1.0786666666666667e-07,-0.5952454461253472,2.47,2.75,-2.08,1.8000000000000003
55092.49998842592,1.28e-07,4.36e-08,1.9357798165137616,-0.5683168316831684,2.50409664819693,9.086666666666669e-08,0.40820813484792945,4.44,2.47,-0.2799999999999998,2.25
55218.49998842592,3.18e-09,1.28e-07,-0.97515625,1.9357798165137616,-2.9109360665137616,5.826e-08,-0.9437971213159698,0.0,4.44,1.9700000000000002,-6.41
55225.49998842592,1.86e-08,3.18e-09,4.849056603773585,-0.97515625,5.824212853773584,4.992666666666667e-08,-0.6261993603411514,1.55,0.0,-4.44,5.99
55260.49998842592,1.88e-07,1.86e-08,9.107526881720428,4.849056603773585,4.258470277946843,6.992666666666666e-08,1.6861195734958114,4.1,1.55,1.55,0.9999999999999998
55274.49998842592,7e-08,1.88e-07,-0.6276595744680851,9.107526881720428,-9.735186456188513,9.219999999999999e-08,-0.24052004333694463,2.53,4.1,2.55,-4.119999999999999
55309.49998842592,2.95e-09,7e-08,-0.9578571428571429,-0.6276595744680851,-0.3301975683890578,8.698333333333333e-08,-0.964976076555024,0.18,2.53,-1.5699999999999998,-0.7799999999999998
55316.49998842592,2.52e-07,2.95e-09,84.42372881355932,-0.9578571428571429,85.38158595641646,1.0831666666666665e-07,1.325288239815527,5.0,0.18,-2.3499999999999996,7.17
55323.49998842592,1.32e-07,2.52e-07,-0.47619047619047616,84.42372881355932,-84.8999192897498,1.2898333333333333e-07,0.023369916074887004,3.51,5.0,4.82,-6.3100000000000005
55379.49998842592,4.49e-09,1.32e-07,-0.9659848484848484,-0.47619047619047616,-0.4897943722943723,1.2949666666666664e-07,-0.964582422387407,0.77,3.51,-1.4900000000000002,-1.2499999999999996
55400.49998842592,1.89e-07,4.49e-09,41.09354120267261,-0.9659848484848484,42.05952605115746,1.0849666666666664e-07,0.7413057491021829,4.44,0.77,-2.7399999999999998,6.41
55470.49998842592,1.68e-07,1.89e-07,-0.11111111111111116,41.09354120267261,-41.204652313783726,1.2049666666666665e-07,0.3939025401475995,4.06,4.44,3.6700000000000004,-4.050000000000001
55477.49998842592,8.09e-08,1.68e-07,-0.5184523809523809,-0.11111111111111116,-0.4073412698412697,1.4596666666666666e-07,-0.4454586946599725,2.72,4.06,-0.3800000000000008,-0.9599999999999986
55484.49998842592,1.23e-07,8.09e-08,0.5203955500618047,-0.5184523809523809,1.0388479310141856,1.2396666666666665e-07,-0.007791509940891798,3.09,2.72,-1.3399999999999994,1.709999999999999
55491.49998842592,2.01e-07,1.23e-07,0.6341463414634148,0.5203955500618047,0.11375079140161004,1.3496666666666665e-07,0.4888943731490624,3.41,3.09,0.36999999999999966,-0.04999999999999938
55519.49998842592,1.82e-07,2.01e-07,-0.09452736318407973,0.6341463414634148,-0.7286737046474945,1.6866666666666664e-07,0.07900454276120886,4.59,3.41,0.3200000000000003,0.8599999999999994
55533.49998842592,2.24e-07,1.82e-07,0.23076923076923084,-0.09452736318407973,0.32529659395331056,2.0233333333333328e-07,0.10703112135682556,4.76,4.59,1.1799999999999997,-1.0099999999999998
55547.49998842592,8.85e-08,2.24e-07,-0.6049107142857142,0.23076923076923084,-0.835679945054945,1.648333333333333e-07,-0.46281325788197236,2.54,4.76,0.16999999999999993,-2.3899999999999997
55575.49998842592,1.68e-07,8.85e-08,0.8983050847457625,-0.6049107142857142,1.5032157990314767,1.6016666666666664e-07,0.048876871880199825,4.84,2.54,-2.2199999999999998,4.52
55596.49998842592,1.62e-07,1.68e-07,-0.0357142857142857,0.8983050847457625,-0.9340193704600482,1.3949999999999997e-07,0.1611747851002867,4.72,4.84,2.3,-2.42
55603.49998842592,1.24e-07,1.62e-07,-0.23456790123456783,-0.0357142857142857,-0.19885361552028213,1.513333333333333e-07,-0.18049746863306174,3.26,4.72,-0.1200000000000001,-1.3399999999999999
55631.49998842592,1.58e-07,1.24e-07,0.274193548387097,-0.23456790123456783,0.5087614496216648,1.4799999999999998e-07,0.06752194463200566,4.36,3.26,-1.46,2.5600000000000005
55673.49998842592,7.8e-08,1.58e-07,-0.5063291139240507,0.274193548387097,-0.7805226623111476,1.1999999999999996e-07,-0.349708576186511,2.38,4.36,1.1000000000000005,-3.080000000000001
55687.49998842592,1.51e-07,7.8e-08,0.9358974358974359,-0.5063291139240507,1.4422265498214866,1.2899999999999998e-07,0.17041053446940368,4.92,2.38,-1.9800000000000004,4.5200000000000005
55736.49998842592,5.45e-08,1.51e-07,-0.6390728476821192,0.9358974358974359,-1.5749702835795552,9.449999999999997e-08,-0.4228329809725157,2.35,4.92,2.54,-5.109999999999999
55743.49998842592,9.11e-08,5.45e-08,0.6715596330275231,-0.6390728476821192,1.3106324807096423,9.886666666666665e-08,-0.07847760188615681,2.46,2.35,-2.57,2.6799999999999997
55757.49998842592,1.7e-07,9.11e-08,0.8660812294182216,0.6715596330275231,0.19452159639069855,1.0519999999999996e-07,0.6153846153846159,4.01,2.46,0.10999999999999988,1.44
55792.49998842592,1.28e-07,1.7e-07,-0.24705882352941166,0.8660812294182216,-1.1131400529476334,1.2969999999999998e-07,-0.01309707241910608,4.47,4.01,1.5499999999999998,-1.0899999999999999
55799.49998842592,1.49e-07,1.28e-07,0.1640625,-0.24705882352941166,0.41112132352941166,1.4899999999999997e-07,1.775303796223802e-16,3.94,4.47,0.45999999999999996,-0.9899999999999998
55806.49998842592,2.04e-08,1.49e-07,-0.8630872483221477,0.1640625,-1.0271497483221477,9.913333333333332e-08,-0.7934161907961035,1.72,3.94,-0.5299999999999998,-1.69
55841.49998842592,5.99e-08,2.04e-08,1.9362745098039214,-0.8630872483221477,2.799361758126069,7.643333333333331e-08,-0.2160278745644597,2.34,1.72,-2.2199999999999998,2.84
55855.49998842592,4.55e-08,5.99e-08,-0.24040066777963276,1.9362745098039214,-2.176675177583554,4.1933333333333305e-08,0.0848532910388587,2.24,2.34,0.6199999999999999,-0.7199999999999995
55869.49998842592,1.89e-07,4.55e-08,3.153846153846154,-0.24040066777963276,3.394246821625787,9.813333333333331e-08,0.9250084832032581,4.27,2.24,-0.09999999999999964,2.129999999999999
55876.49998842592,9.55e-08,1.89e-07,-0.49470899470899476,3.153846153846154,-3.648555148555149,1.0999999999999997e-07,-0.13169845594913687,3.13,4.27,2.0299999999999994,-3.169999999999999
55883.49998842592,4.14e-08,9.55e-08,-0.5664921465968586,-0.49470899470899476,-0.07178315188786388,1.0863333333333332e-07,-0.6183323114653586,2.31,3.13,-1.1399999999999997,0.31999999999999984
55890.49998842592,4.07e-08,4.14e-08,-0.016908212560386437,-0.5664921465968586,0.5495839340364722,5.9199999999999974e-08,-0.31197301854974674,2.12,2.31,-0.8199999999999998,0.6299999999999999
55897.49998842592,2.99e-07,4.07e-08,6.346437346437347,-0.016908212560386437,6.363345558997733,1.270333333333333e-07,1.3526481384373366,2.85,2.12,-0.18999999999999995,0.9199999999999999
55904.49998842592,4.62e-08,2.99e-07,-0.8454849498327759,6.346437346437347,-7.191922296270123,1.286333333333333e-07,-0.6403417918177109,2.41,2.85,0.73,-1.17
55911.49998842592,2.17e-07,4.62e-08,3.6969696969696972,-0.8454849498327759,4.542454646802473,1.8739999999999997e-07,0.15786666666666682,3.44,2.41,-0.43999999999999995,1.4699999999999998
55918.49998842592,1.37e-07,2.17e-07,-0.36866359447004604,3.6969696969696972,-4.0656332914397435,1.3339999999999996e-07,0.026966292134831708,5.0,3.44,1.0299999999999998,0.5300000000000002
55925.49998842592,1.59e-07,1.37e-07,0.16058394160583944,-0.36866359447004604,0.5292475360758855,1.7099999999999996e-07,-0.07013442431326682,3.0,5.0,1.56,-3.56
55932.49998842592,2.03e-07,1.59e-07,0.2767295597484276,0.16058394160583944,0.11614561814258817,1.663333333333333e-07,0.22030843180452658,3.58,3.0,-2.0,2.58
55939.49998842592,2.08e-07,2.03e-07,0.024630541871921263,0.2767295597484276,-0.25209901787650635,1.8999999999999998e-07,0.09468700683850621,3.38,3.58,0.5800000000000001,-0.7800000000000002
55946.49998842592,2.61e-08,2.08e-07,-0.8745192307692308,0.024630541871921263,-0.899149772641152,1.4569999999999996e-07,-0.8203017832647461,1.99,3.38,-0.20000000000000018,-1.1899999999999997
55974.49998842592,1.01e-07,2.61e-08,2.8697318007662838,-0.8745192307692308,3.7442510315355144,1.1169999999999997e-07,-0.09570661896243267,2.14,1.99,-1.39,1.54
55981.49998842592,1.95e-07,1.01e-07,0.9306930693069306,2.8697318007662838,-1.9390387314593531,1.0736666666666663e-07,0.8154466501240702,3.13,2.14,0.15000000000000013,0.8399999999999996
55995.49998842592,3.8e-08,1.95e-07,-0.8051282051282052,0.9306930693069306,-1.7358212744351358,1.113333333333333e-07,-0.6580915345498055,1.96,3.13,0.9899999999999998,-2.1599999999999997
56002.49998842592,1.76e-07,3.8e-08,3.6315789473684204,-0.8051282051282052,4.436707152496625,1.363333333333333e-07,0.29074028829709286,3.21,1.96,-1.17,2.42
56009.49998842592,2.78e-07,1.76e-07,0.5795454545454546,3.6315789473684204,-3.0520334928229658,1.6399999999999996e-07,0.6946983546617919,2.88,3.21,1.25,-1.58
56016.49998842592,2.35e-07,2.78e-07,-0.15467625899280568,0.5795454545454546,-0.7342217135382603,2.2966666666666662e-07,0.023211954156390754,3.14,2.88,-0.33000000000000007,0.5900000000000003
56023.49998842592,1.6e-07,2.35e-07,-0.3191489361702128,-0.15467625899280568,-0.1644726771774071,2.243333333333333e-07,-0.28664785385415104,3.38,3.14,0.26000000000000023,-0.020000000000000462
56030.49998842592,1.87e-07,1.6e-07,0.16874999999999996,-0.3191489361702128,0.48789893617021274,1.9399999999999996e-07,-0.03606388459556915,3.68,3.38,0.23999999999999977,0.0600000000000005
56044.49998842592,7.43e-08,1.87e-07,-0.6026737967914438,0.16874999999999996,-0.7714237967914438,1.404333333333333e-07,-0.4705882352941175,3.02,3.68,0.30000000000000027,-0.9600000000000004
56051.49998842592,1.48e-07,7.43e-08,0.9919246298788695,-0.6026737967914438,1.5945984266703133,1.3643333333333328e-07,0.08471679687500044,3.12,3.02,-0.6600000000000001,0.7600000000000002
56058.49998842592,8.57e-08,1.48e-07,-0.4209459459459459,0.9919246298788695,-1.4128705758248155,1.0266666666666663e-07,-0.165098929614012,2.73,3.12,0.10000000000000009,-0.4900000000000002
56065.49998842592,1.5e-07,8.57e-08,0.7502917152858808,-0.4209459459459459,1.1712376612318267,1.2789999999999997e-07,0.17265625000000018,5.0,2.73,-0.3900000000000001,2.66
56072.49998842592,1.39e-07,1.5e-07,-0.07333333333333336,0.7502917152858808,-0.8236250486192142,1.2489999999999996e-07,0.11280000000000025,3.2,5.0,2.27,-4.07
56079.49998842592,1.06e-07,1.39e-07,-0.237410071942446,-0.07333333333333336,-0.16407673860911265,1.3166666666666664e-07,-0.1947887680242852,3.3,3.2,-1.7999999999999998,1.8999999999999995
56086.49998842592,1.86e-07,1.06e-07,0.7547169811320755,-0.237410071942446,0.9921270530745215,1.4366666666666662e-07,0.2944586134940881,5.0,3.3,0.09999999999999964,1.6000000000000005
56100.49998842592,6.42e-08,1.86e-07,-0.6548387096774193,0.7547169811320755,-1.4095556908094948,1.1873333333333328e-07,-0.4589060308555397,2.69,5.0,1.7000000000000002,-4.01
56107.49998842592,1.52e-07,6.42e-08,1.3676012461059188,-0.6548387096774193,2.022439955783338,1.3406666666666664e-07,0.13366459627329225,5.0,2.69,-2.31,4.62
56114.499976851854,1.7e-07,1.52e-07,0.11842105263157876,1.3676012461059188,-1.24918019347434,1.287333333333333e-07,0.3203104786545926,5.0,5.0,2.31,-2.31
56135.499976851854,1.18e-07,1.7e-07,-0.3058823529411764,0.11842105263157876,-0.42430340557275514,1.4666666666666663e-07,-0.19532137179195982,4.04,5.0,0.0,-0.96
56142.499976851854,8.89e-08,1.18e-07,-0.24661016949152548,-0.3058823529411764,0.059272183449650906,1.256333333333333e-07,-0.2921527041357368,2.53,4.04,-0.96,-0.5500000000000003
56156.499976851854,5.17e-09,8.89e-08,-0.9418447694038246,-0.24661016949152548,-0.6952345999122991,7.068999999999997e-08,-0.9255544568441871,0.82,2.53,-1.5100000000000002,-0.19999999999999973
56205.499976851854,1.34e-08,5.17e-09,1.5918762088974852,-0.9418447694038246,2.53372097830131,3.58233333333333e-08,-0.624199684513315,1.22,0.82,-1.71,2.11
56240.499976851854,1.87e-07,1.34e-08,12.955223880597016,1.5918762088974852,11.36334767169953,6.85233333333333e-08,1.7264778743867504,4.55,1.22,0.4,2.93
56275.499976851854,9.13e-08,1.87e-07,-0.5117647058823529,12.955223880597016,-13.466988586479369,9.72333333333333e-08,-0.06095890410958866,2.79,4.55,3.33,-5.09
56282.499976851854,1.48e-08,9.13e-08,-0.8378970427163198,-0.5117647058823529,-0.3261323368339669,9.769999999999997e-08,-0.8476482617586912,1.34,2.79,-1.7599999999999998,0.30999999999999983
56331.499976851854,1.55e-07,1.48e-08,9.472972972972972,-0.8378970427163198,10.310870015689291,8.703333333333331e-08,0.7800306044376439,4.09,1.34,-1.45,4.2
56338.499976851854,1.71e-07,1.55e-07,0.10322580645161294,9.472972972972972,-9.369747166521359,1.1359999999999996e-07,0.5048372911169752,4.94,4.09,2.75,-1.8999999999999995
56401.499976851854,1.89e-07,1.71e-07,0.10526315789473695,0.10322580645161294,0.0020373514431240025,1.7166666666666666e-07,0.10091209004463433,5.0,4.94,0.8500000000000005,-0.7900000000000009
56436.499976851854,9.56e-08,1.89e-07,-0.4941798941798943,0.10526315789473695,-0.5994430520746312,1.5186666666666665e-07,-0.3702566352270234,2.78,5.0,0.05999999999999961,-2.28
56450.499976851854,2.05e-07,9.56e-08,1.1443514644351467,-0.4941798941798943,1.638531358615041,1.6319999999999998e-07,0.2559706062461728,5.0,2.78,-2.22,4.44
56471.499976851854,1.13e-07,2.05e-07,-0.448780487804878,1.1443514644351467,-1.5931319522400247,1.3786666666666663e-07,-0.18023677216718986,5.0,5.0,2.22,-2.22
56527.499976851854,1.85e-07,1.13e-07,0.6371681415929202,-0.448780487804878,1.0859486293977982,1.6766666666666662e-07,0.10331810053645969,2.63,5.0,0.0,-2.37
56548.499976851854,1.11e-07,1.85e-07,-0.4,0.6371681415929202,-1.0371681415929204,1.363333333333333e-07,-0.18568287319814294,3.09,2.63,-2.37,2.83
56716.499976851854,1.54e-07,1.11e-07,0.3873873873873874,-0.4,0.7873873873873874,1.4999999999999997e-07,0.026648900732845014,3.85,3.09,0.45999999999999996,0.30000000000000027
56737.499976851854,3.2e-07,1.54e-07,1.0779220779220777,0.3873873873873874,0.6905346905346903,1.9499999999999996e-07,0.6406970784213227,3.25,3.85,0.7600000000000002,-1.3600000000000003
56751.499976851854,1.39e-07,3.2e-07,-0.565625,1.0779220779220777,-1.6435470779220778,2.043333333333333e-07,-0.3195825860101092,5.0,3.25,-0.6000000000000001,2.35
56793.499976851854,1.55e-07,1.39e-07,0.11510791366906492,-0.565625,0.680732913669065,2.0466666666666662e-07,-0.24255249877909799,5.0,5.0,1.75,-1.75
56863.499976851854,1.22e-07,1.55e-07,-0.2129032258064516,0.11510791366906492,-0.3280111394755165,1.3866666666666664e-07,-0.12010569300984843,3.07,5.0,0.0,-1.9300000000000002
56919.499976851854,2.18e-08,1.22e-07,-0.8213114754098361,-0.2129032258064516,-0.6084082496033845,9.959999999999998e-08,-0.7803410230692076,1.87,3.07,-1.9300000000000002,0.7300000000000004
56926.499976851854,1.67e-07,2.18e-08,6.660550458715596,-0.8213114754098361,7.4818619341254315,1.0359999999999996e-07,0.6113789778206371,5.0,1.87,-1.1999999999999997,4.33
